Parameters:
Entities,Kingsway
Rooms,All
Classifications,All
Products,All
In Stock Only,No
Brands,All

Location,Product,Classification,SKU,In Stock Qty,Unit Type,Received Date,PackageId,BatchId,Expiration Date,Use By Date,Packaged Date,Unit Cost,Total Cost,Transfer In Qty,Transfer Out Qty,On Order Qty,Regular Price,Days In Stock,Room,Manufacturer,Supplier,Supplier SKU,Product State,Strain,THC %,CBD %
Kingsway,1964: LA KUSH CAKE PRE-ROLL (1 x 1g),Pre-Rolls,1R6YMY1X,0.000,Each,11/22/2024,LAKP1DMX4,,,,,6.9900,0.0000,0.000,0.000,0.000,9.95,394,Default,,BCLDB,1066640,Active,,,
Kingsway,1964: LA KUSH CAKE PRE-ROLL (1 x 1g),Pre-Rolls,1R6YMY1X,0.000,Each,02/14/2025,LAKP1DMX5,,,,,6.9900,0.0000,0.000,0.000,0.000,9.95,310,Default,,BCLDB,1066640,Active,,,
Kingsway,1964: LA KUSH CAKE PRE-ROLL (1 x 1g),Pre-Rolls,1R6YMY1X,0.000,Each,09/04/2025,LAKP1EMX1,,,,,6.9900,0.0000,0.000,0.000,0.000,9.95,108,Default,,BCLDB,1066640,Active,,,
Kingsway,1964: LA KUSH CAKE PRE-ROLL (1 x 1g),Pre-Rolls,1R6YMY1X,0.000,Each,07/20/2025,MXXALE009,,,,,6.9900,0.0000,0.000,0.000,0.000,9.95,154,Default,,BCLDB,1066640,Active,,,
Kingsway,1964: LA KUSH CAKE PRE-ROLL (1 x 1g),Pre-Rolls,1R6YMY1X,0.000,Each,07/18/2025,MXXALE015,,,,,6.9900,0.0000,0.000,0.000,0.000,9.95,156,Default,,BCLDB,1066640,Active,,,
Kingsway,1964: LA KUSH CAKE PRE-ROLLS (5 x 0.5g),Pre-Rolls,TAJZRWNX,5.000,Each,10/31/2025,CT3P1EMX1MXXALE018,,,,,14.6900,73.4500,0.000,0.000,0.000,21.95,51,Default,,BCLDB,1067540,Active,,,
Kingsway,1964: LA KUSH CAKE PRE-ROLLS (5 x 0.5g),Pre-Rolls,TAJZRWNX,0.000,Each,01/03/2025,LAKP1DMX5,,,,,13.9800,0.0000,0.000,0.000,0.000,21.95,352,Default,,BCLDB,1067540,Active,,,
Kingsway,1964: LA KUSH CAKE PRE-ROLLS (5 x 0.5g),Pre-Rolls,TAJZRWNX,0.000,Each,02/14/2025,LAKP1DMX6,,,,,13.9800,0.0000,0.000,0.000,0.000,21.95,310,Default,,BCLDB,1067540,Active,,,
Kingsway,1964: LA KUSH CAKE PRE-ROLLS (5 x 0.5g),Pre-Rolls,TAJZRWNX,0.000,Each,05/30/2025,LAKP1E016,,,,,14.6900,0.0000,0.000,0.000,0.000,21.95,205,Default,,BCLDB,1067540,Active,,,
Kingsway,1964: LA KUSH CAKE PRE-ROLLS (5 x 0.5g),Pre-Rolls,TAJZRWNX,0.000,Each,04/11/2025,LAKP1EMX1,,,,,13.9800,0.0000,0.000,0.000,0.000,21.95,254,Default,,BCLDB,1067540,Active,,,
